Year, Manufacturing , Construction , Utilities , Other Goods Industries , Wholesale & Retail Trade , Transportation & Storage , Accommodation & Food Services , Information & Communications , Finance & Insurance , Business Services , Other Services Industries , Ownership Of Dwellings 
1960,228.20,67.70,57.00,79.90,601.50,256.30,81.50,50.30,71.90,146.40,330.80,68.90
1961,241.10,93.60,60.00,82.20,652.90,272.80,86.50,51.30,86.50,162.30,359.10,73.60
1962,271.40,104.40,69.20,90.80,685.40,280.40,91.10,54.40,97.90,199.80,383.10,76.30
1963,328.50,127.60,71.40,91.30,795.60,286.70,97.10,56.50,107.70,216.50,424.00,78.80
1964,350.70,150.50,80.50,91.20,634.90,269.70,100.80,57.40,118.30,230.10,437.70,80.90
1965,403.90,176.60,80.40,91.60,665.60,294.20,105.20,59.30,130.30,261.30,464.80,84.10
1966,473.00,176.70,96.60,109.80,795.50,310.30,114.90,64.60,148.90,281.10,505.20,90.80
1967,547.80,203.10,119.10,115.40,941.20,342.00,132.70,73.70,165.50,331.60,530.50,96.40
1968,659.30,247.40,134.80,133.10,1066.20,399.20,151.50,87.20,211.60,372.80,577.20,106.10
1969,821.90,285.40,146.20,142.90,1259.10,459.00,169.40,94.10,265.70,432.60,616.60,123.30
1970,1026.20,388.70,168.50,150.80,1350.60,529.50,191.80,104.40,298.30,508.70,683.10,156.60
1971,1288.80,499.20,185.90,179.10,1508.80,630.20,230.20,120.10,356.80,618.30,778.50,199.70
1972,1674.50,682.00,210.30,183.70,1662.50,773.30,276.70,144.80,449.20,742.40,860.80,250.60
1973,2213.90,717.10,246.40,237.70,2238.50,945.10,358.20,173.80,626.40,884.00,994.50,291.00
1974,2822.70,916.90,266.60,258.00,2879.70,1130.60,415.60,213.00,792.70,1096.80,1246.50,324.30
1975,2943.00,1052.30,289.20,295.90,2818.50,1261.60,463.10,274.00,987.70,1118.90,1399.30,337.40
1976,3313.10,1169.30,315.00,306.60,2931.00,1516.80,508.70,303.80,1089.20,1168.40,1483.30,362.10
1977,3695.30,1162.40,334.60,325.70,3221.70,1778.00,572.80,365.20,1131.80,1222.50,1544.80,391.90
1978,4279.20,1084.10,396.20,305.40,3520.70,2187.80,668.10,463.80,1354.50,1285.90,1680.70,420.90
1979,5338.30,1187.30,469.40,327.50,3882.40,2420.30,790.20,523.10,1612.30,1452.30,1862.70,459.20
1980,6862.20,1555.30,605.90,390.50,4234.40,2958.60,998.90,632.30,2293.90,1800.70,2095.90,481.10
1981,7818.10,2097.70,534.40,444.10,4344.40,3382.80,1181.90,755.80,3146.30,2503.00,2422.40,628.20
1982,7575.40,3079.60,672.80,456.50,4681.10,3662.50,1348.10,812.80,3660.00,3169.50,3072.70,600.20
1983,8168.90,4155.30,780.30,448.50,4871.80,4182.60,1399.40,860.30,3953.10,3477.30,3510.00,844.10
