Year,Region,Country, Manufacturing Services On Physical Inputs Owned By Others , Maintence And Repair Services , Transport , Insurance , Construction , Financial , Telecommunications Computer and Information , Charges For The Use Of Intellectual Property , Personal Cultural And Recreation, Trade related , Business Magement , Other Services 
2000,Asia,Total,,646.6,9757.8,666.1,203.3,1004.8,553.9,83.7,,453.2,1240.7,1164.2
2001,Asia,Total,33.9,804.4,9747.6,456.2,271.5,813.9,825.8,110.4,49.6,455.9,1474,1183.2
2002,Asia,Total,47,893.4,10449.1,660.7,335.6,766.8,823.7,243.7,54.9,522.2,1685.3,1259.3
2003,Asia,Total,13.7,1096.3,10851.2,494.4,409.7,1184.6,830.7,306.8,61.3,644.1,1685.1,1364.2
2004,Asia,Total,31.7,1456.2,13522.8,487.8,930.7,1473.1,1099.3,440.3,77.3,2201.5,1924.9,1811.5
2005,Asia,Total,23.2,1881.6,15131.7,590.2,682.3,1677,1014.3,667.4,73.4,2062.9,2106.1,2160.3
2006,Asia,Total,147.7,2067.1,16645.2,665.5,711.1,2089.9,1344.8,689.4,82.8,3022.2,2534.6,3097.7
2007,Asia,Total,129.8,2370.8,19968.2,815,886.7,3221,1439.4,817.9,104.2,3657.2,3241.3,3138.2
2008,Asia,Total,112.8,2987.7,22039.4,1174.6,1075.1,2838,1891.1,1180,254.2,2953.4,3692.1,3737.1
2009,Asia,Total,80.7,2795.6,18667.9,1282,1074,3072.7,2020.1,1297.7,235.8,1779.7,3820.8,4198.2
2010,Asia,Total,48.6,2830.2,22967.6,1599.7,824.5,4414.2,2379.9,1424.2,280.4,971.2,4417.9,4096.1
2011,Asia,Total,42.1,2875,22924.5,1677.7,1114.5,4756.5,2694.3,1529.5,316.4,1399,4285.6,4703.1
2012,Asia,Total,65.7,3208.8,21964.7,1945.9,1004.7,5138.8,2932.1,1677.5,260.6,1476.7,5167.2,5653.6
2013,Asia,Total,67.5,2634.9,23646,2095.6,1028.5,5733.4,3498.4,2053.9,343.3,1060.1,6867.3,6921
2014,Asia,Total,78.1,2559.5,25408.8,2688.1,953.6,6349.7,3700.2,2141.3,455,1675.4,7601.4,9191.7
2015,Asia,Total,72.1,2604.4,25367.6,3035.2,1014.7,7093.8,4935.9,2102.3,475.1,2067.6,9769.8,11342.6
2016,Asia,Total,91,2677.7,22514.3,4046.1,1174.6,7118,6448.1,2047.2,457.4,1956.7,9318.5,13667.3
2017,Asia,Total,87.9,2470.3,28137.9,3877.6,898.9,8259.1,7089.6,2154.4,287.6,2204,8037.5,17174.7
2000,Asia,China,,59.2,678.2,17.5,59.9,23.3,37.3,4.4,2.3,29.6,55.5,75.1
2001,Asia,China,,75.2,813.8,16.5,48.2,16.4,47.5,18.3,3.7,33.8,61.7,103
2002,Asia,China,,77.9,787.3,15.1,101.3,28.1,44.3,28.9,,19.6,55.2,91.1
2003,Asia,China,1.8,126.6,1287.4,14.4,160.8,36.6,63.1,19.8,7.7,13.6,67,109.6
2004,Asia,China,9.3,159.3,1735.7,23.2,328.4,58.7,74.1,26.4,10,17.4,82.3,176.1
2005,Asia,China,,189.4,1931.8,29.8,142.3,59.5,74.2,111.7,,29.7,125,236.3
2006,Asia,China,6,279.9,2108.4,42.9,147.6,98.7,108.4,135.9,8.7,35.5,125.9,268.1
2007,Asia,China,10.1,340.6,3177.2,69.2,111.8,238,143.1,,,164.4,217.2,337.3
2008,Asia,China,7.3,427.8,3588.5,178.6,188.7,231.2,225.1,245.7,17.6,50.7,254.3,423.8
2009,Asia,China,,297,3125.8,163.7,104.2,350.2,178.2,291.3,,67.6,312.8,463.1
2010,Asia,China,,258.2,4978.3,205.2,74,481.8,206.5,344.4,,54.6,403.7,483.4
2011,Asia,China,,344.8,4048.5,244.8,53.8,583,250.9,425.3,,94.9,457.2,415.9
2012,Asia,China,,433.3,4034.3,232.2,55.7,755.2,252.8,519.7,,123.4,557.3,480
2013,Asia,China,14.8,401.3,5198.8,244.9,68.4,880,270.7,501.3,10.2,131.8,612.9,863.8
2014,Asia,China,,416.9,6224.1,289.7,79.3,1113.7,259.9,549.9,,316.8,591.6,1044.5
2015,Asia,China,,455.3,6281,307.1,82.8,1408.7,246.3,538.2,,469.7,683.8,1366.2
2016,Asia,China,4.7,546.5,5172,449.3,67.3,1432,424.2,594,52.8,431.1,759.2,827.3
2017,Asia,China,,620,8852.6,569.9,99.8,1654.8,535.2,573.2,,634.2,690.4,2306.5
2000,Asia,Hong Kong,,27.4,795.7,57.1,,378.5,57,7.1,2.9,54.1,374.7,98.9
2001,Asia,Hong Kong,,59.9,744.6,45.7,,260.1,107.1,8.2,3.9,61.3,486.5,87.3
2002,Asia,Hong Kong,,69.6,694.2,60.5,,241.4,105,30.4,3.8,61,557.8,87.1
2003,Asia,Hong Kong,0.3,64.5,578.3,38.9,0.9,398.9,87.1,37.5,7.2,66.4,647.2,132.4
2004,Asia,Hong Kong,,90.7,622.3,36.7,,505.9,131.5,45,6.5,92.1,641.4,140.2
2005,Asia,Hong Kong,,114.1,850.9,42.8,10,550.8,179,63.3,5.8,98.8,690.7,184.3
2006,Asia,Hong Kong,,139.7,1151.4,27.8,,693.9,191.3,54.1,7.3,156.1,920.6,206.3
2007,Asia,Hong Kong,,130.2,1410.3,37.7,,1059.6,190.2,49.3,9.4,155,1142.5,242.7
2008,Asia,Hong Kong,,156.4,1411.6,42.8,10.6,960.6,337.4,81,20.7,164.9,1240.5,250
2009,Asia,Hong Kong,,116.3,1089.5,45.8,,843.3,305.2,77.7,19,,1107.5,279.3
2010,Asia,Hong Kong,,101.3,1414.2,56.8,,1163.5,370.4,86.5,20.1,92.4,1322.5,286.4
2011,Asia,Hong Kong,,143.4,1436.1,50.7,,1283,440.9,90.4,22.8,155.4,1069.2,395.9
2012,Asia,Hong Kong,,111,1516.8,51,,1299.4,418.5,78.5,29.8,101.3,1133,396.4
2013,Asia,Hong Kong,,128.4,1463.7,64.2,,1289.4,481.1,144.3,36.5,80.1,1178.3,288
2014,Asia,Hong Kong,,127.1,1723.9,127.5,,1343.2,513.5,131.5,32,168.3,1191.3,466
2015,Asia,Hong Kong,,133.8,2050.1,157.5,,1511,837.3,125.2,44.1,222.8,1479.2,687.8
2016,Asia,Hong Kong,,111.7,1864.1,463.4,,1413.9,766.2,159.8,27.3,265.7,1522.3,754.9
2017,Asia,Hong Kong,,113.6,1990.8,303.3,,1744.8,641.2,114.3,13.3,367.7,1630.2,862.4
2000,Asia,India,,32.2,395.6,7.7,0.2,20.9,45,0.4,,10.2,25.1,
2001,Asia,India,,62,400.8,11.9,6.1,18.5,51.3,,,8.1,17.4,158.2
2002,Asia,India,,63.6,450.1,16.3,6,17,69.3,,,14.4,23.5,230.6
2003,Asia,India,,80.2,728.9,20.6,8.6,33.3,125.1,,,26.1,26.2,141.8
2004,Asia,India,,101.2,979.8,25.4,18.2,50.9,205.5,,,47.1,56.9,210.9
2005,Asia,India,,121.6,1250.3,35.9,9.1,81.1,179.7,12.7,,50.2,63.6,274.4
