Year,Region,Country, Manufacturing Services On Physical Inputs Owned By Others , Maintence And Repair Services , Transport , Insurance , Construction , Financial , Telecommunications Computer and Information , Charges For The Use Of Intellectual Property , Personal Cultural And Recreation, Trade related , Business Magement , Other Services 
2000, Asia ,Total,191.90,31.60,3872.10,424.60,167.70,340.40,529.10,611.20,9.30,828.90,898.70,734.30
2001, Asia ,Total,276.00,44.60,4198.00,263.80,140.00,312.70,596.60,534.50,32.80,1326.70,1158.80,818.20
2002, Asia ,Total,401.60,74.60,4718.40,360.80,122.40,350.20,596.40,549.30,85.90,1652.40,1240.50,834.90
2003, Asia ,Total,377.80,45.20,5373.50,410.30,140.40,418.20,556.40,623.20,72.90,2065.70,1180.60,1342.90
2004, Asia ,Total,750.10,108.10,7093.60,415.30,482.30,553.70,626.00,754.20,109.50,4102.00,1452.40,1663.60
2005, Asia ,Total,1035.20,129.50,8022.70,411.40,255.90,598.90,771.40,799.90,81.40,3881.10,1697.80,1476.30
2006, Asia ,Total,1101.30,197.90,8351.70,318.90,175.10,1009.10,1127.60,797.00,87.30,4612.80,1961.40,2448.40
2007, Asia ,Total,1390.10,239.10,9841.70,376.50,240.20,1398.70,1143.50,618.40,94.90,4730.20,2345.00,2260.60
2008, Asia ,Total,2177.20,250.30,11342.20,651.40,296.70,1247.50,1372.80,613.30,158.10,4875.50,2675.60,3187.80
2009, Asia ,Total,2117.60,403.00,11111.50,678.10,354.50,1122.60,1349.00,590.70,114.60,3327.70,2863.20,3327.50
2010, Asia ,Total,3004.00,335.50,13007.00,898.60,294.30,1438.80,1623.80,591.00,174.60,3602.70,3217.10,3524.60
2011, Asia ,Total,3035.20,288.90,14251.60,914.00,454.60,1483.20,1981.80,620.20,187.50,3842.60,3785.20,4058.00
2012, Asia ,Total,3451.40,216.20,14282.10,867.60,470.40,1428.40,2324.80,604.10,137.20,4148.40,4049.60,4410.20
2013, Asia ,Total,3413.70,231.20,15326.90,1117.50,569.20,1718.20,2610.40,775.40,158.20,4873.20,4837.80,5051.80
2014, Asia ,Total,4350.90,234.10,19277.70,957.50,374.30,2120.30,3080.60,733.40,165.60,5562.80,4994.60,6713.70
2015, Asia ,Total,5250.00,311.70,20964.60,1218.90,406.60,2415.00,3252.70,906.00,195.80,5411.00,5537.70,6982.10
2016, Asia ,Total,5359.80,238.50,19431.30,1463.10,445.00,2548.00,3885.20,1054.70,203.10,5939.60,7280.80,7306.50
2017, Asia ,Total,5610.10,280.90,23447.00,1326.20,370.90,3196.40,3725.60,1362.00,212.70,7094.50,7669.30,10327.50
2018, Asia ,Total,5469.30,268.20,29337.10,1722.00,574.50,3708.40,5365.30,1191.10,252.60,7548.80,8994.00,12380.50
2000, Asia ,China,4.50,4.70,399.70,15.50,24.80,1.20,64.60,0.20,2.90,28.50,78.50,24.00
2001, Asia ,China,7.90,7.10,404.70,14.40,,0.50,51.00,,1.40,53.90,83.20,70.40
2002, Asia ,China,37.80,16.40,459.60,11.50,5.90,3.30,58.50,2.70,3.80,107.00,97.50,55.50
2003, Asia ,China,4.60,4.20,788.30,16.00,27.90,1.10,55.60,1.10,4.00,268.70,130.60,79.00
2004, Asia ,China,32.30,14.30,1209.70,23.40,230.40,1.40,66.20,1.10,5.90,346.60,148.40,118.40
2005, Asia ,China,167.60,19.50,1327.20,28.70,82.40,2.90,67.00,0.90,5.00,313.40,192.20,130.40
2006, Asia ,China,162.10,55.10,1221.90,22.50,30.60,9.90,201.20,2.80,7.70,343.90,256.80,186.10
2007, Asia ,China,214.50,49.70,1833.30,35.40,18.60,9.00,111.00,2.10,17.00,558.70,300.80,212.50
2008, Asia ,China,267.70,36.60,1839.80,97.20,13.20,19.10,234.80,3.40,27.60,611.70,385.70,606.50
2009, Asia ,China,502.60,64.70,1799.60,80.70,17.70,25.60,210.80,6.60,24.50,573.40,378.90,743.90
2010, Asia ,China,693.50,71.00,2429.30,95.70,20.70,51.40,205.40,4.60,25.40,577.20,429.50,727.80
2011, Asia ,China,1029.30,40.40,2516.80,137.70,16.70,59.90,276.60,13.20,28.20,690.20,815.80,808.00
2012, Asia ,China,1056.80,41.20,2641.40,111.20,14.80,49.20,329.80,12.50,28.60,851.00,797.70,1062.00
2013, Asia ,China,1040.50,32.00,3034.60,129.50,22.50,40.20,379.50,23.50,34.20,902.90,977.80,1365.80
2014, Asia ,China,1434.00,30.20,4342.50,115.80,14.50,80.20,338.80,24.50,35.50,1262.90,896.50,1780.20
2015, Asia ,China,1609.30,36.40,4248.50,150.60,12.60,114.20,398.30,28.50,48.90,1241.40,997.90,1996.70
2016, Asia ,China,1100.50,42.60,3675.50,194.70,10.00,72.60,416.20,32.00,63.00,1233.00,1032.50,1777.70
2017, Asia ,China,1253.40,54.10,5370.20,156.20,,99.50,328.60,,64.40,1674.10,1136.80,1797.80
2018, Asia ,China,1480.40,52.10,6076.00,379.00,46.80,174.40,746.50,65.50,45.50,1464.50,1551.90,2230.60
2000, Asia ,Hong Kong,,,409.10,77.00,23.90,67.60,63.30,7.80,2.20,205.70,254.80,126.90
2001, Asia ,Hong Kong,,2.30,435.00,57.40,,122.70,87.30,24.80,6.90,221.40,359.70,128.80
2002, Asia ,Hong Kong,,2.50,412.50,74.40,,156.00,90.60,54.90,7.50,245.40,375.00,165.40
2003, Asia ,Hong Kong,,,434.10,91.30,9.10,201.30,76.30,61.10,8.40,287.40,335.60,175.30
2004, Asia ,Hong Kong,,7.30,683.50,79.60,,232.00,93.90,36.20,4.80,289.00,480.50,211.40
2005, Asia ,Hong Kong,109.70,10.60,727.70,75.10,3.20,255.20,139.10,42.40,4.70,280.50,530.80,238.20
2006, Asia ,Hong Kong,54.10,4.20,880.90,35.30,2.40,496.30,220.60,51.70,7.20,285.70,668.80,231.60
2007, Asia ,Hong Kong,11.10,2.60,1089.40,55.80,4.20,773.00,240.80,40.30,3.30,281.70,776.50,241.20
2008, Asia ,Hong Kong,8.30,9.50,1253.70,75.80,8.50,586.60,177.80,50.80,4.90,454.90,707.50,285.70
2009, Asia ,Hong Kong,,,1247.10,79.70,35.40,518.00,144.30,49.50,9.90,292.80,794.40,320.40
2010, Asia ,Hong Kong,,14.00,1471.70,90.20,17.30,635.10,156.20,50.30,,304.30,956.60,482.20
2011, Asia ,Hong Kong,7.90,1.70,1416.30,100.30,13.80,636.50,206.60,76.00,8.10,321.80,874.00,281.70
2012, Asia ,Hong Kong,35.60,2.10,1542.60,57.90,17.90,566.50,295.30,70.60,10.00,384.40,915.70,335.10
2013, Asia ,Hong Kong,28.30,9.30,1850.70,64.00,15.50,711.10,263.50,96.90,7.70,579.30,972.10,498.30
2014, Asia ,Hong Kong,40.10,12.40,2773.40,99.70,3.80,1082.90,416.90,94.80,11.20,1261.00,1011.80,866.30
2015, Asia ,Hong Kong,84.00,13.30,3606.80,213.20,1.80,1183.70,449.00,149.00,14.00,1001.90,1183.60,763.90
2016, Asia ,Hong Kong,92.80,18.00,2989.00,312.30,,1279.00,529.10,171.00,,1307.00,1398.70,724.10
2017, Asia ,Hong Kong,125.40,19.10,3340.90,213.10,7.80,1783.40,520.70,154.80,8.30,1237.90,1519.80,1802.70
2018, Asia ,Hong Kong,122.30,17.00,3917.20,234.00,94.40,2145.90,593.10,144.10,9.30,1221.60,1578.70,1975.10
2000, Asia ,India,,,182.20,4.00,,,43.10,,,53.70,14.60,65.70
2001, Asia ,India,,,190.00,4.50,0.30,4.40,54.80,,,137.20,36.50,62.40
2002, Asia ,India,,0.60,255.80,16.10,3.30,2.90,46.60,,,125.40,28.10,78.00
2003, Asia ,India,,0.90,364.90,26.10,1.00,7.40,72.60,,,152.40,38.40,70.10
2004, Asia ,India,,,457.10,31.50,,12.30,73.00,2.10,,222.20,71.60,88.40
2005, Asia ,India,,1.80,551.20,30.80,0.70,17.70,136.00,,,255.90,84.90,105.10
2006, Asia ,India,,3.10,610.00,19.60,2.90,58.70,143.90,4.80,,356.10,108.90,151.20
2007, Asia ,India,,3.30,674.30,21.20,12.40,77.80,191.70,13.70,,480.00,178.50,162.30
2008, Asia ,India,,,753.30,64.10,13.20,101.60,312.60,13.90,59.90,540.50,274.10,174.80
2009, Asia ,India,,6.80,703.90,80.90,68.60,112.70,320.30,,41.10,437.00,320.40,171.40
2010, Asia ,India,,,768.40,93.70,,171.50,423.70,15.00,92.70,437.30,346.80,219.10
2011, Asia ,India,,,854.90,79.10,56.40,176.70,565.30,52.60,101.30,466.70,309.70,266.50
2012, Asia ,India,,,806.90,46.10,77.50,179.30,640.00,81.00,34.40,534.50,359.70,254.80
2013, Asia ,India,,,868.50,93.40,69.00,172.70,898.50,67.10,40.30,593.30,479.30,262.40
2014, Asia ,India,,,1075.70,90.50,94.30,194.80,1045.40,19.00,44.60,376.60,544.10,347.00
2015, Asia ,India,6.40,4.70,960.70,97.70,69.80,253.00,1078.30,23.20,36.70,327.00,655.80,522.10
2016, Asia ,India,5.60,2.40,975.90,110.90,9.20,267.70,1415.90,102.90,30.30,336.00,788.30,516.70
2017, Asia ,India,,4.10,1065.90,89.50,25.40,290.60,1333.60,,21.80,554.70,777.70,868.40
2018, Asia ,India,3.70,6.80,1260.20,72.80,24.20,231.40,2228.70,35.50,99.50,745.20,920.40,921.20
2000, Asia ,Japan,4.90,10.60,644.80,79.30,9.60,,59.70,562.90,,178.50,175.50,221.00
2001, Asia ,Japan,1.90,14.70,568.10,51.70,,75.50,66.20,396.20,,327.60,111.60,151.20
2002, Asia ,Japan,,23.50,741.00,64.30,,75.90,74.00,420.40,1.80,420.10,185.80,163.30
