Year, Asia  others,Americas others,Asean,Australia,China,Europe others,France,Germany,Hong Kong,India,Japan,Korea,Oceania others,USA
2000,4053.0,231.99999999999974,2599.6000000000004,661.7,649.0999999999999,4580.1,203.5,501.7,1238.3000000000002,363.3,1946.8,389.29999999999995,84.59999999999997,9239.6
2001,4727.500000000001,454.8000000000004,3028.2,697.3000000000001,694.5,5610.700000000001,218.70000000000002,445.7,1446.3,490.09999999999997,1764.7,579.6,98.7,8869.8
2002,5147.399999999999,1166.1000000000001,3330.9,742.3,859.5,6594.8,339.2,377.7999999999999,1584.2,556.8000000000001,2170.1,669.4,157.7,9579.4
2003,5246.299999999999,1905.699999999999,3425.4000000000005,1326.5,1381.1,9933.400000000001,666.0000000000001,618.2999999999998,1679.8999999999999,733.8,2807.5,758.5000000000001,165.49999999999997,14572.1
2004,6785.599999999999,2625.9000000000005,4486.400000000001,1669.1999999999998,2198.1000000000004,11273.199999999999,933.7,820.1000000000001,2118.2,958.2,4985.499999999999,1065.2,205.69999999999987,16186.199999999999
2005,7289.4,3009.9,4817.900000000001,1296.3,2337.2,13343.200000000003,1422.3,984.4000000000001,2417.2,1184.1,4715.0,1218.6000000000001,223.59999999999988,16911.8
2006,7617.500000000001,3534.000000000001,4938.9,1511.9,2500.6000000000004,16780.2,1645.7,1064.9,2938.7999999999997,1459.2,6393.299999999999,1279.1,276.70000000000005,17728.8
2007,8707.300000000001,4468.5,5623.9,2330.6,3362.6000000000004,17587.899999999998,1047.8,1674.3000000000002,3519.9,1815.1999999999998,5683.700000000001,1590.2,454.59999999999985,20490.5
2008,10957.599999999999,5968.1,6858.3,1888.2,4143.3,21020.4,2299.3,2238.3,3624.0,2308.0000000000005,5850.0,1965.5,616.8,21495.0
2009,10560.099999999999,7038.5999999999985,6254.7,2177.2,4429.0,18151.9,2245.0,2288.4999999999995,3491.5000000000005,2263.1,5024.799999999999,1591.5000000000002,576.9000000000002,23301.9
2010,12277.700000000003,8900.099999999999,7024.900000000001,3020.4,5331.5,23427.5,1349.1999999999998,2544.0,4177.900000000001,2568.2000000000003,5401.800000000001,1954.8999999999999,776.2,24934.499999999996
2011,12618.800000000001,12372.2,7370.999999999999,4104.799999999999,6432.8,26207.899999999998,2689.7999999999997,3059.3000000000006,3944.7,2929.2,6783.699999999999,2193.6,1095.8000000000002,20617.1
2012,13583.300000000005,14242.599999999999,7923.9,4579.4,6996.2,29081.8,3456.1,2806.8999999999996,4233.700000000001,3014.2,6114.799999999999,2448.2000000000003,1432.7999999999997,29604.899999999998
2013,15434.599999999999,17574.6,8667.7,4944.900000000001,7983.0,35403.1,3589.8,3075.7000000000003,5096.700000000001,3544.5000000000005,6016.0,2608.7,1572.6999999999998,29705.399999999998
2014,16830.300000000003,16960.800000000003,8965.699999999999,5183.599999999999,10355.6,40279.50000000001,4181.4,3467.7999999999997,7674.3,3831.9999999999995,6581.0,3292.3,2052.3999999999996,35904.2
2015,19289.3,12858.7,10056.3,4902.5,10883.300000000001,45502.09999999999,3781.9,3125.7,8664.199999999999,4035.4,6674.7,3305.2,2854.5000000000005,40598.8
2016,20364.100000000002,15261.3,10877.6,5067.3,9650.3,38619.3,3830.0000000000005,3357.0,8821.0,4561.8,7961.8,3796.6,3158.9999999999995,41306.0
2017,23764.7,21440.5,12181.1,5945.7,11935.099999999999,45689.899999999994,3068.7000000000003,3868.8999999999996,10733.9,5031.7,8734.0,4423.7,3985.3,42563.9
2018,25438.499999999993,13880.199999999999,13758.899999999998,6644.9,14313.2,50769.8,3484.7,4682.2,12052.7,6549.599999999999,13312.0,5145.799999999999,4604.599999999999,47202.5
